Token,Index
07I3,"[['2053249'], []]"
07contemporary,"[['1400705'], []]"
08,"[['1001377', '1001885', '1003078', '1006560', '1007928', '1008732', '1009160', '1011882', '1013001', '1013369', '1014578', '1015403', '1015452', '1015584', '1015767', '1016523', '1020959', '1020961', '1021193', '1021425', '1021615', '1022238', '1023500', '1024701', '1024889', '1025176', '1028270', '1028404', '1030200', '1031575', '1032431', '1032547', '1034282', '1035146', '1039752', '1040771', '1041482', '1041616', '1045201', '1045466', '1047851', '1048537', '1049361', '1049584', '1050175', '1050339', '1052360', '1054685', '1056868', '1058234', '1059419', '1061118', '1061242', '1061563', '1064862', '1065970', '1066165', '1070441', '1070711', '1072319', '1072842', '1079440', '1079509', '1080544', '1082150', '1082518', '1084336', '1085883', '1089243', '1089511', '1089517', '1119839', '1214898', '1263399', '1264579', '1291809', '1344548', '1367458', '1367964', '1394364', '1418180', '1424373', '1426971', '1433379', '1438461', '1440972', '1449661', '1452610', '1458164', '1467022', '1482200', '1485495', '1566311', '1752755', '1759860', '1763809', '1767945', '1770782', '1775691', '1777823', '1794202', '1794844', '1848256', '1858410', '1859649', '1860750', '1863930', '1868786', '1873231', '1878708', '1902628', '1903164', '1907739', '1914127', '1914572', '1916726', '1937939', '1941301', '1949068', '1949338', '1963912', '1970428', '1981355', '2052448', '2061644', '2081876', '2115040', '2136484', '2143304', '2230208', '2243692', '2250587', '2253642', '2256039', '2257609', '2275502', '2295324', '2359212', '2363651', '2376336', '2380307', '2383005', '2988943', '3006581', '3009821', '3010130', '3010133', '3033668', '3091349', '3191044', '3274851', '3290010'], ['1003078', '1008732', '1013001', '1015403', '1015767', '1020961', '1021615', '1024701', '1028270', '1031575', '1034282', '1040771', '1045201', '1048537', '1050175', '1054685', '1059419', '1061563', '1066165', '1072319', '1079509', '1082518', '1089243', '1119839', '1264579', '1367458', '1418180', '1433379', '1449661', '1467022', '1566311', '1763809', '1775691', '1794844', '1859649', '1868786', '1902628', '1914127', '1937939', '1949338', '1981355', '2081876', '2143304', '2250587', '2257609', '2359212', '2380307', '3006581', '3010133', '3191044']]"
080,"[['2567919'], []]"
0804,"[['1200840'], []]"
0805,"[['1914078'], []]"
0806,"[['1056315'], []]"
0807,"[['1026411', '1057601'], []]"
0809,"[['1004322', '1052203', '1056023', '1277981', '1426971', '1770782', '1786670', '1863930', '1873231', '1949338', '1975809', '2052448', '2123957', '2194123', '2253642', '2381950', '3009821', '3274113', '3626924'], ['1056023', '1770782', '1873231', '2052448', '2253642', '3274113']]"
0812,"[['1048007', '2133254'], []]"
082007,"[['2022979'], []]"
0870,"[['1041616'], []]"
08American,"[['1424741'], []]"
08Anthropology,"[['1829836'], []]"
08Bob,"[['1448761'], []]"
08Illustrated,"[['1019338', '1021847', '1033190', '1056733', '1066462'], ['1033190']]"
08LifeB,"[['1903968'], []]"
08Novel,"[['3101457'], []]"
08NovelRomance,"[['3073494'], []]"
08Romance,"[['1159939', '1467776'], []]"
08front,"[['2988943'], []]"
08movie,"[['1035146'], []]"
08ontheway,"[['1884249'], []]"
08orwell,"[['2035179'], []]"
08pheh,"[['1424741'], []]"
08prose,"[['1420862'], []]"
08remexwang,"[['1069685'], []]"
08remexwang09,"[['1324985'], []]"
09,"[['1003479', '1007914', '1008732', '1011662', '1015584', '1015699', '1017818', '1020459', '1021273', '1027191', '1033778', '1039487', '1041007', '1045201', '1046265', '1047447', '1051363', '1052828', '1054889', '1057206', '1059336', '1060774', '1064828', '1066462', '1071241', '1072438', '1079252', '1079680', '1080544', '1085799', '1085860', '1089511', '1089512', '1089518', '1089521', '1192090', '1205054', '1254588', '1257365', '1277981', '1316648', '1322066', '1336968', '1394364', '1396339', '1401425', '1418707', '1419736', '1424741', '1426971', '1432596', '1433640', '1433659', '1460313', '1703544', '1731370', '1777823', '1781120', '1793721', '1794844', '1805514', '1827374', '1859140', '1903164', '1903968', '1941558', '1949338', '1963912', '1965977', '2042063', '2052448', '2052596', '2053249', '2056749', '2064450', '2068211', '2071404', '2081876', '2082194', '2118032', '2139305', '2143304', '2150240', '2158194', '2159042', '2160292', '2161892', '2171321', '2174013', '2180619', '2214344', '2240482', '2242461', '2250587', '2253642', '2256039', '2257188', '2257609', '2277795', '2280027', '2284311', '2295163', '2295324', '2348372', '2361768', '2377002', '2377012', '2567698', '2988943', '3000997', '3006581', '3009821', '3013903', '3066477', '3080607', '3181927', '3187737', '3187750', '3211779', '3223711', '3239824', '3246904', '3259440', '3274113', '3274851', '3315879', '3333989', '3335362', '3344676', '3369793', '3394338', '3442373', '3547099', '3554154', '3597938', '3608170', '3609132', '3616310', '3626924', '3642673', '3699108', '3776157', '3813669', '3995526', '4074636', '4113090'], ['1008732', '1015699', '1021273', '1039487', '1046265', '1052828', '1059336', '1066462', '1079252', '1085799', '1089512', '1192090', '1257365', '1322066', '1396339', '1419736', '1432596', '1460313', '1777823', '1794844', '1859140', '1941558', '1965977', '2052596', '2064450', '2081876', '2139305', '2158194', '2161892', '2180619', '2242461', '2256039', '2277795', '2295163', '2361768', '2567698', '3006581', '3066477', '3187737', '3223711', '3259440', '3315879', '3344676', '3442373', '3597938', '3616310', '3699108', '3995526']]"
09.1,"[['1221515'], []]"
